commit date git,commit sha,jira_id,affected versions,fixed version
2015-02-13T15:12:15Z,8671ee51e7ab2abe77208725c8cadca936f3ea18,SYNCOPE-641,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T13:48:46.000+0000
2015-02-13T15:11:09Z,223c0cda4ad43581860df1a892de1d2191222856,SYNCOPE-641,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T13:48:46.000+0000
2015-02-13T15:03:36Z,ce43e69504e23ce9d73f907a9944671d8b5bb6f0,SYNCOPE-641,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T13:48:46.000+0000
2015-02-13T14:45:21Z,0a1b3e90e0035baaf1eb37e9ab36d6cf0f548eff,SYNCOPE-641,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T13:48:46.000+0000
2015-02-13T14:41:20Z,7321d79015e036b8bb5829eb33ac6a9f5be5c723,SYNCOPE-641,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T13:48:46.000+0000
2015-02-13T15:23:31Z,21ada50208145c4561978dfdaf82158a6ad2b793,SYNCOPE-639,[1.2.1],[1.2.3  2.0.0-M1],2015-02-13T09:06:59.000+0000
2015-02-13T15:19:55Z,070c0770d814517e1c8ed772d98797b24de3fcd9,SYNCOPE-639,[1.2.1],[1.2.3  2.0.0-M1],2015-02-13T09:06:59.000+0000
2015-02-16T13:43:39Z,4dc90d7d06722ad5651293178a0eb8eb613be489,SYNCOPE-638,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T08:23:30.000+0000
2015-02-13T14:20:19Z,4e35b35f484b126b55cf1c2a703969d0a6544fbf,SYNCOPE-638,[1.2.2],[1.2.3  2.0.0-M1],2015-02-13T08:23:30.000+0000
2015-01-29T16:15:41Z,3237d26dfcba2b8d00d6b7d71b47853207ed5270,SYNCOPE-632,[1.2.1],[1.2.2  2.0.0-M1],2015-01-28T10:53:05.000+0000
2015-01-21T05:54:34Z,4efca7c3ec3973ab4b774a1f43e4403daf3354b7,SYNCOPE-629,[1.2.1  2.0.0-M1],[1.2.2  2.0.0-M1],2015-01-20T11:46:26.000+0000
2015-01-20T16:29:09Z,7b1c5ebeb85c2b27aaf1177e931431fa1da68be0,SYNCOPE-629,[1.2.1  2.0.0-M1],[1.2.2  2.0.0-M1],2015-01-20T11:46:26.000+0000
2015-01-05T10:07:36Z,069b56f92aee2cfc79c326993ac8bf894bb07b04,SYNCOPE-625,[],[1.2.2  2.0.0-M1],2014-12-28T14:03:35.000+0000
2014-12-22T14:31:23Z,7c0a5efc146035b5fb75a653d744b097f4ff3712,SYNCOPE-617,[1.2.1],[1.2.2  2.0.0-M1],2014-12-18T09:15:59.000+0000
2014-12-12T11:15:18Z,20bfa942ab1b07bef4002a160742ee5b47617204,SYNCOPE-615,[1.2.2],[1.2.2  2.0.0-M1],2014-12-11T16:13:38.000+0000
2014-12-10T14:55:05Z,9d1607734850b852ada7a803c3f11a1bbf48273a,SYNCOPE-614,[1.2.1],[1.2.2  2.0.0-M1],2014-12-04T15:03:43.000+0000
2014-12-11T13:39:53Z,9b429b287604e6bf6763dc6c65a61502ad333116,SYNCOPE-613,[1.2.1],[1.2.2  2.0.0-M1],2014-12-01T11:37:29.000+0000
2014-11-28T17:18:04Z,e414b79bead9bfc4044a8a8dde6a95b1855cf354,SYNCOPE-611,[1.2.1],[1.2.2  2.0.0-M1],2014-11-27T14:22:44.000+0000
