versione,file,LOC Touched, metrica2, metrica3, metrica4, metrica5, metrica6, metrica7, metrica8, metrica9, bugginess
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/SyncTasks.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/UserDetailsPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/UserManagementResultPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/VirtualAttributesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/AbstractBaseRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/EntitlementRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/ExecutionRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/InvalidPolicyType.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/LoggerRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/NotificationRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/PolicyRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/ReportRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/ResourceRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/RoleRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/SchemaRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/TaskRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/UserRequestRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/UserRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/rest/WorkflowRestClient.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/ajax/form/AbstractAjaxDownloadBehavior.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/IndicatingDeleteOnConfirmAjaxLink.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/DatePropertyColumn.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/TokenColumn.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/extensions/markup/html/repeater/data/table/UserAttrColumn.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AbstractFieldPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLink.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLinksPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxCheckBoxPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDecoratedCheckbox.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDropDownChoicePanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxNumberFieldPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPalettePanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPasswordFieldPanel.java,0,0,0,0,0,0,0,0,0,No
